property,count
year_bucket_range=[2020-2021];score_bucket_range=[3-4];,15
year_bucket_range=[2022-2023];score_bucket_range=[4-5];,22
year_bucket_range=[2022-2023];score_bucket_range=[3-4];,5
year_bucket_range=[2022-2023];score_bucket_range=[1-2];,2
install_bucket_range=[1000000-1100000];price_bucket_range=[0-5];,14
install_bucket_range=[500000-600000];price_bucket_range=[0-5];,11
install_bucket_range=[0-100000];price_bucket_range=[0-5];,3832
install_bucket_range=[0-100000];price_bucket_range=[5-10];,24
install_bucket_range=[100000-200000];price_bucket_range=[0-5];,82
install_bucket_range=[5000000-5100000];price_bucket_range=[0-5];,5
install_bucket_range=[0-100000];price_bucket_range=[10-15];,5
install_bucket_range=[0-100000];price_bucket_range=[15-20];,5
install_bucket_range=[1000000-1100000];rating_bucket_range=[10000-20000];,4
install_bucket_range=[500000-600000];rating_bucket_range=[0-10000];,9
install_bucket_range=[0-100000];rating_bucket_range=[0-10000];,3869
install_bucket_range=[100000-200000];rating_bucket_range=[0-10000];,81
install_bucket_range=[1000000-1100000];rating_bucket_range=[0-10000];,8
install_bucket_range=[500000-600000];rating_bucket_range=[10000-20000];,2
install_bucket_range=[1000000-1100000];score_bucket_range=[4-5];,10
install_bucket_range=[500000-600000];score_bucket_range=[3-4];,3
install_bucket_range=[0-100000];score_bucket_range=[4-5];,117
install_bucket_range=[0-100000];score_bucket_range=[0-1];,3689
install_bucket_range=[100000-200000];score_bucket_range=[3-4];,15
install_bucket_range=[1000000-1100000];score_bucket_range=[3-4];,4
install_bucket_range=[0-100000];score_bucket_range=[3-4];,41
install_bucket_range=[100000-200000];score_bucket_range=[4-5];,28
install_bucket_range=[0-100000];score_bucket_range=[2-3];,12
install_bucket_range=[0-100000];score_bucket_range=[1-2];,10
install_bucket_range=[5000000-5100000];score_bucket_range=[4-5];,5
install_bucket_range=[500000-600000];score_bucket_range=[4-5];,7
install_bucket_range=[100000-200000];score_bucket_range=[0-1];,31
install_bucket_range=[100000-200000];score_bucket_range=[2-3];,6
install_bucket_range=[100000-200000];score_bucket_range=[1-2];,2
price_bucket_range=[0-5];rating_bucket_range=[10000-20000];,7
price_bucket_range=[0-5];rating_bucket_range=[0-10000];,3931
price_bucket_range=[5-10];rating_bucket_range=[0-10000];,24
price_bucket_range=[0-5];rating_bucket_range=[20000-30000];,2
price_bucket_range=[10-15];rating_bucket_range=[0-10000];,5
price_bucket_range=[15-20];rating_bucket_range=[0-10000];,5
price_bucket_range=[0-5];score_bucket_range=[4-5];,167
price_bucket_range=[0-5];score_bucket_range=[3-4];,60
price_bucket_range=[5-10];score_bucket_range=[0-1];,23
price_bucket_range=[0-5];score_bucket_range=[0-1];,3688
price_bucket_range=[0-5];score_bucket_range=[2-3];,18
price_bucket_range=[0-5];score_bucket_range=[1-2];,12
price_bucket_range=[10-15];score_bucket_range=[0-1];,4
price_bucket_range=[15-20];score_bucket_range=[0-1];,4
rating_bucket_range=[10000-20000];score_bucket_range=[4-5];,7
rating_bucket_range=[0-10000];score_bucket_range=[3-4];,63
rating_bucket_range=[0-10000];score_bucket_range=[4-5];,154
rating_bucket_range=[0-10000];score_bucket_range=[0-1];,3721
rating_bucket_range=[0-10000];score_bucket_range=[2-3];,18
rating_bucket_range=[0-10000];score_bucket_range=[1-2];,12
rating_bucket_range=[20000-30000];score_bucket_range=[4-5];,2
free=1;genre=Art & Design;adSupported=1;,1626
free=0;genre=Art & Design;adSupported=0;,67
free=1;genre=Art & Design;adSupported=0;,426
free=1;genre=Entertainment;adSupported=1;,3
free=0;genre=Art & Design;adSupported=1;,2
free=1;genre=Personalization;adSupported=1;,8
free=1;genre=Photography;adSupported=1;,3
free=1;genre=Events;adSupported=1;,2
free=1;genre=Auto & Vehicles;adSupported=1;,370
free=1;genre=Auto & Vehicles;adSupported=0;,622
free=0;genre=Auto & Vehicles;adSupported=0;,47
free=1;genre=Beauty;adSupported=0;,251
free=1;genre=Beauty;adSupported=1;,538
free=0;genre=Beauty;adSupported=0;,9
free=1;genre=Art & Design;containsAds=1;,1626
free=0;genre=Art & Design;containsAds=0;,67
free=1;genre=Art & Design;containsAds=0;,426
free=1;genre=Entertainment;containsAds=1;,3
free=0;genre=Art & Design;containsAds=1;,2
free=1;genre=Personalization;containsAds=1;,8
free=1;genre=Photography;containsAds=1;,3
free=1;genre=Events;containsAds=1;,2
free=1;genre=Auto & Vehicles;containsAds=1;,370
free=1;genre=Auto & Vehicles;containsAds=0;,622
free=0;genre=Auto & Vehicles;containsAds=0;,47
free=1;genre=Beauty;containsAds=0;,251
free=1;genre=Beauty;containsAds=1;,538
free=0;genre=Beauty;containsAds=0;,9
free=1;genre=Art & Design;year_bucket_range=[2014-2015];,3
free=1;genre=Art & Design;year_bucket_range=[2016-2017];,76
free=1;genre=Art & Design;year_bucket_range=[2018-2019];,518
free=0;genre=Art & Design;year_bucket_range=[2018-2019];,14
free=1;genre=Art & Design;year_bucket_range=[2020-2021];,420
free=0;genre=Art & Design;year_bucket_range=[2020-2021];,44
free=1;genre=Personalization;year_bucket_range=[2020-2021];,4
free=1;genre=Art & Design;year_bucket_range=[2022-2023];,1034
free=1;genre=Photography;year_bucket_range=[2020-2021];,3
free=1;genre=Personalization;year_bucket_range=[2022-2023];,4
free=1;genre=Events;year_bucket_range=[2022-2023];,2
free=0;genre=Art & Design;year_bucket_range=[2022-2023];,8
free=1;genre=Auto & Vehicles;year_bucket_range=[2014-2015];,6
free=1;genre=Auto & Vehicles;year_bucket_range=[2012-2013];,2
free=0;genre=Auto & Vehicles;year_bucket_range=[2014-2015];,2
free=0;genre=Auto & Vehicles;year_bucket_range=[2016-2017];,2
free=1;genre=Auto & Vehicles;year_bucket_range=[2016-2017];,26
free=1;genre=Auto & Vehicles;year_bucket_range=[2018-2019];,170
free=0;genre=Auto & Vehicles;year_bucket_range=[2018-2019];,17
free=1;genre=Auto & Vehicles;year_bucket_range=[2020-2021];,210
free=1;genre=Auto & Vehicles;year_bucket_range=[2022-2023];,578
free=0;genre=Auto & Vehicles;year_bucket_range=[2020-2021];,21
free=0;genre=Auto & Vehicles;year_bucket_range=[2022-2023];,6
free=1;genre=Beauty;year_bucket_range=[2014-2015];,4
free=1;genre=Beauty;year_bucket_range=[2016-2017];,35
free=1;genre=Beauty;year_bucket_range=[2018-2019];,153
free=0;genre=Beauty;year_bucket_range=[2018-2019];,6
free=1;genre=Beauty;year_bucket_range=[2020-2021];,213
free=1;genre=Beauty;year_bucket_range=[2022-2023];,384
free=1;genre=Art & Design;install_bucket_range=[1000000-1100000];,10
free=1;genre=Art & Design;install_bucket_range=[500000-600000];,7
free=1;genre=Art & Design;install_bucket_range=[0-100000];,1987
free=0;genre=Art & Design;install_bucket_range=[0-100000];,69
free=1;genre=Art & Design;install_bucket_range=[100000-200000];,44
free=1;genre=Art & Design;install_bucket_range=[5000000-5100000];,4
free=1;genre=Entertainment;install_bucket_range=[0-100000];,3
free=1;genre=Personalization;install_bucket_range=[0-100000];,8
free=1;genre=Photography;install_bucket_range=[0-100000];,3
free=1;genre=Events;install_bucket_range=[0-100000];,2
free=1;genre=Auto & Vehicles;install_bucket_range=[0-100000];,967
free=1;genre=Auto & Vehicles;install_bucket_range=[100000-200000];,22
free=0;genre=Auto & Vehicles;install_bucket_range=[0-100000];,48
free=1;genre=Beauty;install_bucket_range=[100000-200000];,16
free=1;genre=Beauty;install_bucket_range=[0-100000];,766
free=0;genre=Beauty;install_bucket_range=[0-100000];,10
free=1;genre=Beauty;install_bucket_range=[500000-600000];,4
free=1;genre=Beauty;install_bucket_range=[1000000-1100000];,3
free=1;genre=Art & Design;price_bucket_range=[0-5];,2052
